transaction_id,date,country,product,revenue_usd,cost_usd,credit_risk_ratio,restructured_portfolio_ratio,status
TX-1001,2024-01-15,Kenya,Loans,12500,7100,0.081,0.034,approved
TX-1002,2024-01-18,Nigeria,Insurance,9800,4300,0.092,,approved
TX-1003,2024-02-02,India,Loans,15100,8900,0.074,0.029,reversed
TX-1004,2024-02-10,Brazil,Payments,18800,10200,0.066,0.022,approved
TX-1005,2024-02-16,Kenya,Payments,7600,3900,,0.027,approved
TX-1006,2024-03-01,India,Insurance,11200,6400,0.071,0.031,approved
TX-1007,2024-03-12,Nigeria,Loans,14300,8100,0.097,0.041,approved
TX-1008,2024-03-19,Brazil,Loans,13100,7000,,0.025,reversed
TX-1009,2024-04-04,Kenya,Insurance,6700,3600,0.086,0.033,approved
TX-1010,2024-04-18,India,Payments,20500,11700,0.069,,approved
TX-1011,2024-04-25,Nigeria,Payments,9200,5200,0.101,0.044,reversed
TX-1012,2024-05-08,Brazil,Insurance,15800,8400,0.063,0.021,approved
